TMEM61	1	54980627	54992288
PCSK9	1	55039547	55064853
USP24	1	55066358	55215364
MIR4422HG	1	55217860	55234177
LINC01767	1	56414962	56415966
PLPP3	1	56494760	56579563
PRKAA2	1	56645313	56715335
FYB2	1	56718790	56819404
C8A	1	56854796	56918223
DAB1	1	56994777	58546726
OMA1	1	58480718	58546726
TACSTD2	1	58575432	58577252
MYSM1	1	58654743	58700062
JUN	1	58780790	58784047
LINC01358	1	59020475	59088247
FGGY	1	59296812	59762730
HOOK1	1	59814948	59876322
CYP2J2	1	59893307	59926798
LINC01748	1	60515715	60622685
NFIA	1	61077226	61462788
TM2D1	1	61681045	61725423
PATJ	1	61742479	62163915
L1TD1	1	62194848	62212328
KANK4	1	62236164	62319434
USP1	1	62436303	62451804
DOCK7	1	62454725	62688386
ANGPTL3	1	62597519	62606313
ATG4C	1	62784105	62865514
FOXD3-AS1	1	63320883	63324441
ALG6	1	63367626	63438552
ITGB3BP	1	63440769	63523273
EFCAB7	1	63523524	63572693
PGM1	1	63593410	63660246
ROR1	1	63774016	64181496
ROR1-AS1	1	64094441	64113791
UBE2U	1	64203622	64267367
CACHD1	1	64470128	64693058
RAVER2	1	64744972	64833231
JAK1	1	64833222	65067746
AK4	1	65147548	65232145
DNAJC6	1	65264693	65415871
LEPR	1	65420651	65641559
LEPROT	1	65420667	65436007
PDE4B	1	65792509	66374579
SGIP1	1	66533360	66751139
MIER1	1	66924894	66988619
SLC35D1	1	66999349	67054148
IL23R	1	67166453	67259967
IL12RB2	1	67307363	67398722
SERBP1	1	67407809	67430402
GADD45A	1	67685200	67688334
GNG12	1	67701474	67833467
GNG12-AS1	1	67832287	68202987
DIRAS3	1	68045885	68051631
WLS	1	68098458	68232546
DEPDC1	1	68474151	68497082
LRRC7	1	69567921	70144363
LRRC40	1	70144804	70205579
SRSF11	1	70205695	70253049
ANKRD13C	1	70258998	70354722
CTH	1	70411217	70439851
PTGER3	1	70852357	71047816
ZRANB2	1	71063290	71081035
NEGR1	1	71395942	72282539
LRRIQ3	1	74026017	74198176
FPGT	1	74198241	74208702
ERICH3	1	74568122	74673792
CRYZ	1	74705487	74733408
TYW3	1	74733151	74766676
SLC44A5	1	75202128	75616163
ACADM	1	75724346	75763678
RABGGTB	1	75786193	75795090
MSH4	1	75796881	75913241
ST6GALNAC3	1	76074745	76637316
ST6GALNAC5	1	76867479	77067546
PIGK	1	77088989	77219430
AK5	1	77282018	77559966
USP33	1	77695988	77759852
MIGA1	1	77779623	77879540
NEXN-AS1	1	77881347	77889539
NEXN	1	77888514	77943893
FUBP1	1	77944054	77979205
DNAJB4	1	77979157	78017964
GIPC2	1	78044969	78138442
PTGFR	1	78490973	78540701
IFI44L	1	78620447	78646145
IFI44	1	78649788	78664078
ADGRL4	1	78889763	79006730
LINC01781	1	80535754	80646788
ADGRL2	1	81306191	81993932
LINC01725	1	83575788	83860996
TTLL7	1	83865023	83999132
PRKACB	1	84077974	84238498
SAMD13	1	84298537	84350798
